Polski	utf-8
ERROR_CONFIRM_SUBJ_NOT_DEFINED	Błąd: Temat wiadomości potwierdzającej nie jest zdefiniowany — sprawdź opcje konta.
ERROR_CONFIRM_BODY_NOT_DEFINED	Błąd: Treść wiadomości potwierdzającej nie jest zdefiniowana — sprawdź opcje konta.
ERROR_NOT_ALLOWED_TO_MODIFY	Przepraszamy, modyfikacja informacji kontaktowych jest obecnie niemożliwa.
ERROR_TAG_CONFIRM_REQUIRED	<B>[CONFIRM_URL]</B> tag wymagany
CONFIRMATION_MESSAGE_SUBJECT	Temat wiadomości potwierdzającej
CONFIRMATION_MESSAGE_TEXT	Treść wiadomości potwierdzającej
DISABLE_MODIFY_SERVICE	Wyłącz możliwość modyfikacji informacji kontaktowych:
DISABLE_MODIFY_SERVICE_DISCR	Dostęp do strony modyfikacji informacji kontaktowych zostanie zablokowany
ALLOW_MODIFY_MESSAGES_FORMAT	Pozwól subskrybentowi zmienić format wiadomości:
MODIFY_CONTACT_INFORMATION	Modyfikacja informacji kontaktowych przez subskrybentów
SAVE_CONTACT_INFO	Zapisz
NAME	Twoje imię:
YOUR_CONTACT_INFO	Twoje preferencje:
CHANGE_YOUR_PREF	Zmień swoje preferencje
HTML_ONLY	Tylko HTML
TEXT_ONLY	Tylko tekst
HTML_AND_TEXT	HTML i tekst
MSG_TEXT_FORMAT	Wysyłaj emaile w formacie tekstowym
MSG_HTML_FORMAT	Wysyłaj emaile w formacie HTML
MSG_RSS_FORMAT	Opis Twojego kanału RSS (maks. 500 znaków)
DEFAULT_MESSAGE_TYPE	Domyślny format wiadomości
DEFAULT_MESSAGE_TYPE_DISCR	Jeśli subskrybent nie wybrał preferowanego formatu wiadomości, wiadomość zostanie wysłana w formacie domyślnym.
INSERT_SPECIAL_TAG	<br>Kliknij link poniżej, aby wstawić tag personalizacyjny.<br>
CLICK_HERE_TO_INSERT	Kliknij tutaj, aby wstawić specjalny tag
TAGS_CHANGE_CONTACT_INFO	Edytuj informacje kontaktowe
TAGS_UNSUBSCRIBE_LINK	Link wypisu
TAGS_FNAME	Imię
TAGS_FULLNAME	Pełne imię
TAGS_DATE	Data
TAGS_REGDATE	Data rejestracji
TAGS_EMAIL	Email
TAGS_PERSONAL_INFO	Informacje personalne
TAGS_CUSTOM_FIELDS	Pola niestandardowe
TAGS_TEMPLATES	Szablony
TAGS_LINKTRACK	Śledzenie linków
TAGS_ONE_CLICK_SUBSCRIBE	Jednoklikowy link zapisu do innego konta
TAGS_ONE_CLICK_SUBSCRIBE_LINK	Zapisz do
HTML_EDIT_DISABLE	Kliknij tutaj, aby <B>WYŁĄCZYĆ</B> edytor HTML online
HTML_EDIT_ENABLE	Kliknij tutaj, aby <B>WŁĄCZYĆ</B> edytor HTML online
HTML_EDITOR_ENABLED	Twój edytor HTML online jest <B>włączony</B>. Zapisz wiadomość i przeładuj stronę edycji, aby zaktualizować zawartość.<br>
HTML_EDITOR_DISABLED	Twój edytor HTML online jest <B>wyłączony</B>. Zapisz wiadomość i przeładuj stronę edycji, aby zaktualizować zawartość.<br>
TEST_SEND_LINK	Test&nbsp;send
PLEASE_CHOICE_FOFMAT	Wybierz format emaila
TYPE_MESS	Format	Format
MESS_ACTIVE	Aktywna
MESS_INACTIVE	Nieaktywna
TEST_SEND_HEADER	Test wysyłki email
TEST_SEND_BUTTON	Wyślij email
TEST_SEND_FORMAT	Format emaila
TEST_SEND_RCPT	Adres odbiorcy
MESSAGE_WAS_SENT	Dziękujemy!<BR>Twoja wiadomość została wysłana do 
CLOSE_WINDOW	Zamknij okno
ENABLE_HTML_CHOISE	Dodaj pole wyboru formatu emaila
ENABLE_HTML_CHOISE_DISCR	Zaznacz tę opcję, aby dodać pole wyboru formatu emaila (Tekst lub HTML) do formularza HTML.
HTML_FORM_MESSFORMAT	Format wiadomości w formularzu
DATE_FORMAT_SETTINGS	Ustawienia formatu daty
DATE_FORMAT_LINE	Twoja linia formatu <i>strftime</i>
DATE_FORMAT_DISCR	Ustaw format dla tagów <B>[DATE]</B> w Twoich wiadomościach.<BR>Domyślny format to:  <B>%m/%d/%Y</B> <BR><a href="http://se.php.net/manual/sv/function.strftime.php" target="_blank">Więcej informacji o formacie...</a>
CURRENT_FORMATTED_DATE	Bieżący format daty
USR_BROWSER_HEAD_FORMAT	Format
USR_BROWSER_DEFAULT_FORMAT	Domyślny
USR_BROWSER_HTML_USER_FORMAT	HTML
USR_BROWSER_TEXT_USER_FORMAT	Tekst
PERSONAL_REG_DATE	wydrukuje datę rejestracji subskrybenta
PERSONAL_SUBSCRIBER_ID	ID subskrybenta
PERSONAL_SUBSCRIBER_ID_DISCR	ID subskrybenta (klucz główny, może być użyty do integracji FUMP z innymi aplikacjami)
PERSONAL_MODIFY_CONTACT_INFO	Link do skryptu, gdzie subskrybent może zmodyfikować imię, adres email i format wiadomości
PERSONAL_SUBSCRIBER_UUI	UUI subskrybenta
PERSONAL_SUBSCRIBER_UUI_DISCR	UUI subskrybenta (Unikalny Identyfikator Użytkownika, może być użyty do integracji FUMP z innymi aplikacjami)
PERSONAL_REG_DATE_CORRECTED	wydrukuje skorygowaną datę rejestracji subskrybenta.
ADD_UNSUBSCRIBE_LINK	Automatycznie dodaj link wypisu do stopki emaila
RSSMESS_DISCR	Wskazówka: Użyj krótkiej, jednoakapitowej wiadomości jako tekstu kanału RSS. Kanał RSS przekieruje subskrybenta do wiadomości online.
DUBLICATES	Sprawdzanie duplikatów wiadomości
USE_MES_LOG_NEW	Nie wysyłaj zdublowanych wiadomości do subskrybentów:
THANK_YOU_PAGE_SETTINGS	Ustawienia strony podziękowania:
OR	Lub
GENARATE_PERSONALIZED_PAGE	Generuj spersonalizowaną stronę z szablonu
DOI_PAGE_SETTINGS	Ustawienia potwierdzenia double opt-in:
UNSUBSCRIBE_PAGE_SETTINGS	Ustawienia wypisu
NOTIFICATION_HEADER	Ustawienia powiadomień administratora
INTEGRATION_TOOLS	Narzędzia integracyjne
SQL_INTEGRATION	Zapytanie SQL dla subskrybentów
SQL_INTEGRATION_DESCR	To zapytanie SQL zwróci wszystkie informacje o subskrybentach w koncie.
PERL_INTEGRATION	Integracja Perl
PERL_INTEGRATION_DESCR	Ten kod Perl pomoże Ci emulować wysyłanie (POST) do skryptu rejestracji konta.
#End Version 4.21
#########################	
#file account_shabl.dat	
##########################
ACCOUNT_BIG	Konto
TOTAL_PROSPECTS	Całkowita liczba subskrybentów:
ACTIVE	Aktywnych
INACTIVE	Nieaktywnych:
HTML_CODE_FORM	Kod formularza HTML:
FORM_PREVIEW	Podgląd formularza (możesz go użyć do testowania zapisu):
CUSTOM_FIELD	Pole niestandardowe
CUSTOM_FIELD_NAME	Nazwa pola niestandardowego:
ONLY_CHARS	3...20 znaków [A-Za-z0-9_] tylko
IS_REQUIRED	Czy wymagane?
FIELD_FORMAT	Format pola:
ADD_FIELD	Dodaj pole
CANCEL	Anuluj
ACC_SETTINGS	Ustawienia konta
PERSONAL	Informacje osobiste:
FROM_NAME	Nazwa nadawcy:
FROM_EMAIL	Email nadawcy:
DEF_SUBSCRIB_NAME	Domyślna nazwa subskrybenta (odbiorcy):
REPLY_HEADER	Nagłówek Reply-to:
SUBSCRIB_OPTS	Opcje zapisu
REDIR_SUSCR_TO	Przekieruj zapisanych do:
REDIR_REMOV_TO	Przekieruj usuniętych do:
NOTIFY_ME_SUSCR	Powiadom mnie, gdy ktoś się zapisze:
NOTIFY_ME_UNSUB	Powiadom mnie, gdy ktoś się wypisze:
ACC_ADMIN_NAME	Imię administratora konta:
ACC_ADMIN_MAIL	Email administratora konta:
USE_DOI	Użyj podwójnego potwierdzenia:
DOICONFURL	Strona potwierdzenia double opt-in:
LOGGING	Logowanie
USE_MES_LOG	Użyj logowania wiadomości (sprawdzanie duplikatów email):
LOCALIZ	Lokalizacja:
NO_UPPERCASE	Nie zmieniaj pierwszej litery imion subskrybentów na wielką:
DEF_CHARSET	Domyślne kodowanie znaków:
SAV_ALL_SET	Zapisz
POP_SET	Ustawienia POP3
IS_POP	Pozwól na zapisywanie wysyłając pusty email:
SUBSCR_EMAIL	Adres subskrypcji:
POP_SERVER2	Serwer POP3:
POP_USER2	Nazwa użytkownika POP3:
POP_PASS	Hasło POP3:
POP_PORT	Port serwera POP3:
BAN_MAILS	Zablokuj emaile
BAN_LIST	Lista zablokowanych (1 reguła na linię):
CUST_ERR_MSG	Niestandardowy komunikat błędu:
SORTFILTER	Sortuj lub filtruj wg:
SORTFILTER_SEARCH	Wyszukaj:
SORTFILTER_ORDER	Porządek:
USE_DATE_RANGE	Użyj zakresu dat:
REC_PER_PAGE	Rekordów na stronę:
REC_PER_PAGE_SHOW	Pokaż:
REC_PER_PAGE_RECORDS	rejestrów
SF_DISPLAY	Wyświetl!
SF_SAVETEXT	Zapisz jako tekst...
SF_REMOVE	Usuń
SF_INV_STATUS	Odwrotny status
SF_SEL_ALL	Zaznacz wszystko
SF_DESEL_ALL	Odzaznacz wszystko
PROSPECT	Subskrybent
PROSPECTS2	subskrybenci
PROSP_NAME	Imię:
PROSP_MAIL	Email:
PROSP_BEGIN_DAY	Rozpocznij od dnia:
PROSP_NO_SEQ	Bez sekwencji
PROSP_ADD_BEGIN_DAY	Dodaj subskrybentów do sekwencji zaczynając od dnia
PROSP_UPD_USER	Aktualizuj użytkownika
BULK_REM	Hurtowe usuwanie
PROSP_REM_DB	usunięto z bazy danych
PROSP_REMOVE	Usuń subskrybentów
PROSP_IMPORT	Importuj subskrybentów
INSERT_TEXT	Wstaw tekst:
OR_UPLOAD_FILE	lub prześlij plik:
SEND_SUBSC_ALL_PROSP	Wyślij wiadomość potwierdzającą zapis do wszystkich zaimportowanych subskrybentów.
ADD_NO_SEQ	Dodaj tylko nowe kontakty do listy mailingowej
ADD_SEQ	Dodaj subskrybentów do sekwencji zaczynając od dnia
COPY_PROSPS_FROM_ACC	Kopiuj subskrybentów z kont
ACCOUNT	Konto:
FILTER	Filtr:
IMPORT	Import
PROSP_EXPORT_READY	subskrybenci gotowi do eksportu.
FORMAT	Format:
EXPORT_TO	Eksport do:
EXPORT	Eksport
SUB_UNSUB_MSG	Wiadomości zapis / wypis
EDIT_DOI_CONF_MSG	Wyślij wiadomość potwierdzającą double opt-in
SEND_SUBSC_MSG	Wyślij wiadomość potwierdzającą zapis
SEND_UNSUB_MSG	Wyślij wiadomość potwierdzającą wypis
EDIT	Edytuj
PREVIEW	Podgląd
UPD_SETTINGS	Zapisz ustawienia
ADD_NEW_MSG	Dodaj nową wiadomość
SEQ_MSGS	Wiadomości sekwencyjne:
SEQ_MSG_SUBJECT	Temat wiadomości
ATTACH	Dołącz
SENT	Wysłane
DAY	Dzień
MANUAL_SHED_MSGS	Ręczne/Zaplanowane wiadomości:
SHED_DATE	Data harmonogramu
IN_PROGRESS	W trakcie
BROADCAST	Nadaj
TERM_PROC	Zakończ proces
TST_SND_STR1	Test wyślij zaznaczone wiadomości
TST_SND_STR2	do następującego adresu email:
BTN_TEST_SEND	Testuj wysyłkę
SUBJECT	Temat:
TYPE	Rodzaj:
CHARSET	Zestaw znaków:
PRIORITY	Priorytet:
MSG	Wiadomość:
ADD_ATTACH	Dodaj załącznik:
SEL_MSG_TYPE	Wybierz typ tej wiadomości:
DAYS_AFTER_REG	Wyślij po (dni):
SAVE	Zapisz
#########################	
#file accounts.dat	
#########################	
LOGOUT	WYLOGUJ
FEEDBACK_FORM	Nowości/Wsparcie
GLOBAL_SETTS	Ustawienia systemowe
GLOBAL_LENG	Języki
STATS	Statystyki
XML_IMP	XML&nbsp;Import
XML_EXP	XML&nbsp;Export
BOUNC_MAILS	Odbite emaile
MANUAL	Instrukcja online
ADD_NEW_ACC	Dodaj nowe konto
CLONE	Klonuj:
BTN_NEW_ACC	Utwórz konto
#########################	
#file author.dat	
#########################	
AUTHOR_LINE1	Aby uzyskać dostęp do panelu administracyjnego,
AUTHOR_LINE2	musisz wprowadzić poprawne hasło.
PASSWORD	Hasło:
ENTER	ZALOGUJ
#########################	
#file bounce.dat	
#########################	
HANDLING_TOOL	Obsługa odbić
POP_ACCS	Konta POP3
BOUNC_MSGS	Odbite wiadomości
BLACKLIST	Czarna lista
YOUR_POP_ACCS	Twoje konta POP3
NO_POP_ACCS_FOUND	Brak kont POP3
TOTAL_ACCS	Razem kont:
POP_SERVER	Serwer POP3:
POP_USER	Użytkownik POP3:
REM_PROSPS_AFTER	Usuń subskrybentów po:
BOUNC_HARD	twarde odbicia
BOUNC_SOFT	miękkie odbicia
DEL_BOUNC_MSGS	Usuń odbite wiadomości
TEST_CONN	Testuj połączenie
STATUS	Status
TEST	Test
WITH_SEL	Z zaznaczonymi:
DELETE	Usuń
ACTIVATE	Aktywuj
DEACTIV	Dezaktywuj
TOTALS	Suma
NO_MSGS_FOUND	Brak wiadomości
TOTAL_DATES	Razem dat:
DATE	Data
TOTAL	Razem
TOTAL_HARD	Razem twardych
HARD	Twarde
PROSPS_REMOVED	Subskrybent usunięty
PROSPS_INACT	Subskrybent dezaktywowano
PROSP_NOT_FOUND	Subskrybent nie znaleziony
SOFT	Miękkie
TOTAL_SOFT	Razem miękkich
WAITING	Oczekiwanie
POP_SERV_SETTS	Ustawienia połączenia z serwerem POP3
DEL_BNC_ML_SERV	Usuwaj odbite emaile z serwera POP3
DEF_COUNT_BOUNC	Określ liczbę odbitych emaili przed usunięciem 
REM_AFTER_HARD	Usuń subskrybentów po twardych odbiciach:
REM_AFTER_SOFT	Usuń subskrybentów po miękkich odbiciach:
ACT_WITH_BOUNC	Akcje dla odbitych subskrybentów:
ACT_WITH_PROSP	Akcja dla subskrybenta
ADD_BNC_MAILS_BLACKL	Dodaj odbite emaile do bazy czarnej listy
SAV_ACC	Zapisz konto
RESET	Resetuj
EMAIL	Email:
BOUNC_CODE	Kod odbicia:
HARD_SOFT	Twarde/Miękkie:
PROC_STAT	Status przetwarzania:
BOUNC_REASON	Powód odbicia:
ORDER_BY	Sortuj wg:
SHOW_EMAILS_EXIST_PROS	Pokaż emaile istniejących subskrybentów
DISPLAY	Wyświetl
NO_COL_BNC_MSGS_FOUND	Brak znalezionych odbitych wiadomości
EXP_MAIL_TXT	Eksportuj emaile do pliku tekstowego
TOTAL_MSGS	Razem wiadomości:
BOUNC_MAIL	Email zwrócony (bounce)
PROSPS	Subskrybenci
INACT	Nieaktywni
RECVD	Odebrane
PROC_STAT2	Status przetwarzania 
BNC_STATUS	Status odbicia
BNC_REASON	Powód odbicia
CODE	Kod
HARD_SOFT2	Twarde/Miękkie
BTN_DEL_MSGS	Usuń wiadomości
BTN_REM_PROSP	Usuń subskrybenta
BTN_ACT_PROSP	Aktywuj subskrybenta
BTN_INACT_PROSP	Dezaktywuj subskrybenta
RFC_ERR_DESCR	Opis kodu błędu RFC1893 
CODE2	Kod:
BACK_2_BNC_MSGS	Wróć do odbitych wiadomości
REG_SETTS	Ustawienia rejestracji
REJECT_SUBSCR	Odrzuć zapisy z adresów na czarnej liście
REG_ERR_MSG	Komunikat błędu rejestracji:
SAV_SETTS	Zapisz ustawienia
BNC_MAIL_BLACK	Czarna lista odbitych emaili
IMP_MAILS	Importuj emaile 
EXP_MAILS	Eksportuj emaile 
NO_MAIL_FOUND	Brak emaili
TOTAL_EMAILS	Razem emaili:
IMP_PROSPS	Importuj adresy email
IMP_PROSPS_DESC	Aby zaimportować emaile do czarnej listy, wklej adresy email w pole tekstowe poniżej (po jednym adresie w każdym wierszu). Adresy email zostaną sprawdzone pod kątem poprawnej składni przed importem.
BTN_IMPORT	Importuj
BULK_REM_DESC1	Aby usunąć emaile z czarnej listy, wklej adresy email do pola tekstowego poniżej (po jednym adresie w każdym wierszu) i kliknij "Usuń".
BULK_REM_DESC2	Wprowadź jeden email na wiersz. Możesz też użyć maski. Na przykład wpisanie "hotmail" w polu spowoduje usunięcie wszystkich emaili, które zawierają "hotmail" w dowolnej części adresu.
BULK_REM_DESC3	
BULK_REM_DESC4	Na przykład "hotmail@aol.com", "mike@hotmail.com", "myhotmail@email.com" zostaną usunięte z listy.
BTN_REMOVE	Usuń
#########################	
#file daylystat.dat	
#########################	
BRODC_STARTED	Nadajnik został uruchomiony
TIMES_THIS_DAY	razy dzisiaj.
REPORT_GEN	Ten raport został wygenerowany
#########################	
#file exportxml.dat	
#########################	
STEP1	Krok 1 
STEP1_DESC1	Wybierz konto, nazwę pliku XML, lokalizację i kodowanie pliku XML.
STEP1_DESC2	Kreator ma 4 kroki.
XML_DOC	Dokument XML:
WHERE_STORE_XML_DOC	Miejsce zapisu pliku XML:
ENCODING	Kodowanie:
CREATE_XSD	Utwórz plik XSD ze schematem tabeli dla Access 2002:
NEXT2	NASTĘPNY [2] &gt;&gt;
XSD_DESC1	Plik XSD.
XSD_DESC2	Jeśli utworzysz plik schematu XSD, w łatwy sposób możesz zaimportować tabelę do Microsoft Access 2002. Tabela będzie miała taką samą nazwę jak nazwa pliku.
XSD_DESC3	Przykłady: emails.xml lub emails.xsd.
STEP2_SEL_FLDS	Krok 2 - Wybierz pola
STEP2_SEL_FLDS_DESC	Wybierz pola, które chcesz wyeksportować. Kliknij 'Export >>', aby rozpocząć eksport.
NEXT3	Eksportuj &gt;&gt;
STEP4_FINISH	Krok 4 - Zakończ
XML_EXP_SUC	Eksport XML zakończony pomyślnie!
#########################	
#file importxml.dat	
#########################	
IMP_ST1_DESC1	Wybierz konto, plik XML i poziom, na którym w pliku XML przechowywane są dane użytkownika.
IMP_ST1_DESC2	Plik XML musi znajdować się w katalogu FUMP.
LEVEL_DATA_STORED	Poziom, na którym przechowywane są dane użytkownika:
HERE_IS_SAMPLE	Oto przykładowy plik XML, który możesz zaimportować do Microsoft Access 2002
STEP2_SEL_FLDS_DESC_IMP	Proszę wybrać mapowanie pól do importu danych.
STEP3	Krok 3 - Sprawdź import. Kliknij 'Import >>', aby rozpocząć import.
BTN_IMPXML	Importuj &gt;&gt;
XML_IMP_SUC	Import XML zakończony pomyślnie!
PROSPS_WERE_ADD	Subskrybenci zostali dodani do bazy danych.
#########################	
#file links.dat	
#########################	
YOUR_LINKS	Przegląd linków
ADD_NEW_LINK	Dodaj nowy link
NO_LINKS_FOUND	Brak linków
TOTAL_LINKS	Razem linków:
TEMPLATE	Szablon
NAMEE	Nazwa
CLICKS	Kliknięcia
PROSPECTS	Subskrybenci
ISCLEAN	Czysty
DEL_SELECTED	Usuń zaznaczone
TOTALU	Razem:
LINKS_DESC1	Edytuj linki, aby dodać specjalne tagi do swoich emaili, śledzić aktywność użytkowników i ocenić skuteczność wysyłek. 
LINKS_DESC2	W emailach umieść specjalny tag, np. [LINK123], zamiast bezpośredniego linku.
EDIT_LINK	Edytuj link
INS_NEW_LINK	Wstaw nowy link
LINK_PROPS	Właściwości linku
UPD_LINK	Aktualizuj link
SAV_LINK	Zapisz nowy link
BTN_CANCEL	Anuluj
SHOW_REC_FOR	Pokaż rekordy dla: 
BTN_SHOW	Pokaż
DATE2	Data:
LINK	Link:
MESSAGE	Wiadomość:
NO_PROSPS_FOUND	Brak subskrybentów
NO_CLICKS_FOUND	Brak kliknięć
ACT_UNIQ_PROSPS	Unikalne kliknięcia przez subskrybentów:
CLICKS_FOUND	Suma kliknięć:
CL_NAME	Nazwa
CL_MAIL	Email
CL_PROF	Profil
TOTAL_CLICKS_U	Suma kliknięć:
#########################	
#file links.dat	
#########################	
REGISTRATION_ERROR	BŁĄD REJESTRACJI
REGISTER	Zarejestruj
#########################	
#file settings_shabl.dat	
#########################	
YOUR_PERS_INFO	Twoje dane osobowe
YOUR_NAME	Twoje imię:
YOUR_EMAIL	Twój email:
YOUR_PERS_INFO_DESCR	Te globalne ustawienia administratora są używane domyślnie dla wszystkich kont. Możesz też skonfigurować globalne ustawienia administratora indywidualnie dla każdego z kont.
SEND_ME_BROAD_STAT	Wyślij mi statystyki nadawcy
SEND_ME_BROAD_STAT2	statystyki emailem:
BTN_UPD_SETTS	Zapisz ustawienia
MAIL_PROG_SETTS	Ustawienia poczty
SENDMAIL_PATH	Ścieżka do sendmail:
SEND_THROUGH	Wysyłaj przez:
SMTP_SERVER	Serwer SMTP:
SMTP_AUTH	Autoryzacja SMTP
SMTP_REQ_SASL	Serwer SMTP wymaga uwierzytelniania SASL (Simple Authentication and Security Layer RFC2554)
SMTP_USER	Nazwa użytkownika SMTP:
SMTP_PASS	Hasło SMTP:
SEND_SPD	Ustawienia wydajności wysyłki
QUANT_PROCS	Liczba równoczesnych procesów:
OR_B	lub
USE_OLD_ALG	<b>Wysyłaj jednym procesem (wymaga znacznie mniejszych zasobów serwera)</b>
BOUNC_RET_PATH_OPTS	Adres zwrotny dla odbić SMTP
USE_FOLLOW_UP	Adres email do odbierania odbić:
1ST_WAY	1 sposób:
1ST_WAY2	Użyj flagi sendmail -f z następującym adresem:
2ND_WAY	2 sposób: Nagłówek Return-Path:
2ND_WAY2	Może być pusty, jeśli nie chcesz dodawać tego nagłówka.
2ND_WAY3	Wskazówka: nie zaleca się ręcznego dodawania tego nagłówka do wiadomości, ale czasami działa to przy Qmail.
3RD_WAY	3 sposób: Nagłówek "Errors-To":
3RD_WAY2	Może być pusty, jeśli nie chcesz dodawać tego nagłówka.
ADMIN_AREA_PASS	Hasło dostępu do panelu administracyjnego
ADMIN_AREA_PASS_OLD	Stare hasło:
ADMIN_AREA_PASS_NEW	Nowe hasło:
ADMIN_AREA_PASS_RET	Powtórz hasło:
USE_PERIOD	Użyj okresu:
USE_PERIOD_TO	do
USE_PERIOD_BTN_SHOW	Pokaż
ENABLE_LOG	Włącz logowanie
BTN_OK	OK
BTN_CLENUP_LOGS_IN_RANGE	Wyczyść logi w zakresie dat
BTN_CLEANUP_ALL_LOGS	Wyczyść wszystkie logi
BROAD_LOG_TOTAL	Log nadawcy. Razem
RECORDS	rejestracji.
CURRENT_OR_PREV_BR_LOG	Bieżący lub wcześniejszy log nadawcy:
ROWS_FOUND	znaleziono rekordów.
SAVE_LOG_INTO	Zapisz logi do
SAVE_LOG_INTO_FILE	pliku.
BTN_SAVE_SETTS	Zapisz ustawienia
TIME_SYNCH	Synchronizacja czasu
TIME_SYNCH_SRV_TIME	Czas serwera:
TIME_SYNCH_CORR_TIME	Skorygowany czas:
TIME_SYNCH_COR_TIME	Różnica czasu:
TIME_SYNCH_HHMM	+hh:mm lub -hh:mm
SETTS_REMOVE	Usuń
SETTS_NAME	Nazwa
SETTS_RESTORE	Przywróć
SETTS_DATE	Data
SETTS_SIZE	Rozmiar
BTN_REM_SEL	Usuń zaznaczone
BTN_RESTORE	Przywróć
NEW_BACKUP	Nowa kopia zapasowa
NEW_BACKUP_NAME	Nazwa nowej kopii zapasowej:
NEW_BACKUP_NAME_CHARS	tylko znaki [a-z_0-9]
BTN_BACKUP	Kopia zapasowa
MAIL_PROG_PERF_TEST	Test wydajności programu pocztowego
MAIL_PROG_PERF_TEST_DESC1	Ten test powie Ci, ile czasu zajmuje Twojemu serwerowi wysyłanie emaili. 
MAIL_PROG_PERF_TEST_DESC2	Wprowadź swój adres email poniżej i kliknij
MAIL_PROG_PERF_TEST_DESC3	Test
MAIL_PROG_PERF_TEST_DESC4	przycisk
MAIL_PROG_PERF_TEST_DESC5	tylko raz
MAIL_PROG_PERF_TEST_DESC6	Follow Up Mailing List Processor wyśle emaile na podany adres. Proces zostanie zmierzony.
MAIL_PROG_PERF_TEST_DESC7	Ten test użyje 
ENTER_YOUR_EMAIL_ADDRESS	Wprowadź swój adres email
BLAST_SIZE	Rozmiar wysyłki (30-300 wiadomości)
MAIL_PROG_PERF_TEST_BTN_TEST	Test
MAIL_PROG_PERF_TEST_RESULTS	Wyniki testu wydajności programu pocztowego
MAIL_PROG_PERF_TEST_RESULTS1	wiadomości zostało wysłanych do
MAIL_PROG_PERF_TEST_RESULTS2	Proces zajął
MAIL_PROG_PERF_TEST_RESULTS3	sekund
MAIL_PROG_PERF_TEST_RESULTS4	Twoja
MAIL_PROG_PERF_TEST_RESULTS5	wydajność pokazana poniżej: 
MAIL_PROG_PERF_TEST_RESULTS6	wiadomości na minutę
MAIL_PROG_PERF_TEST_RESULTS7	wiadomości na godzinę
#########################	
#file responder.cgi	
#########################	
ACCOUNTMENU_MAIN	Konto
ACCOUNTMENU_OPTIONS	Opcje konta
ACCOUNTMENU_OPTIONS_DESCR	Zmień ustawienia dla tej konkretnej listy mailingowej, w tym konfigurację funkcji subskrypcji/odsubskrypcji przez POP3. Możesz ustawić nazwę i adres email "From", URL przekierowania dla zapisów i usunięć, powiadomienia administracyjne oraz określić, czy używać podwójnego potwierdzenia (double opt-in). 
ACCOUNTMENU_HTML_FORM	Formularz HTML
ACCOUNTMENU_HTML_FORM_DESCR	Wygeneruj i podejrzyj kod HTML dla pola subskrypcji, które zostanie wklejone na strony Twojej witryny. Możesz także dodawać i usuwać dodatkowe pola, takie jak telefon, faks, adres, itd. 
ACCOUNTMENU_SUBSCR_MAN	Menedżer subskrybentów
ACCOUNTMENU_SUBSCR_MAN_DESCR	Dodawaj, edytuj i twórz kopie zapasowe listy subskrybentów lub kopiuj listę z innego konta. 
ACCOUNTMENU_EDIT_MESS	Edytuj wiadomości
ACCOUNTMENU_EDIT_MESS_DESCR	Dodawaj i edytuj swoje spersonalizowane mailingi oraz sekwencyjne wiadomości autorespondera, w tym automatyczne potwierdzenia subskrypcji i wypisu oraz załączniki. Stąd także uruchamiasz wszystkie swoje nadania (mailouty).
ACCOUNTMENU_LINKS	Śledzenie linków
ACCOUNTMENU_LINK	Link
ACCOUNTMENU_LINKS_DESCR	Dodawaj i edytuj linki, aby oglądać statystyki śledzenia linków w swoich wysyłkach.
ACCOUNTMENU_LINKS_MESS_STAT	Statystyki
ACCOUNTMENU_LINKS_ACT_PROSP	Aktywni subskrybenci
ACCOUNTMENU_LINKS_CLICKS	Kliknięcia
SETTINGSMENU_MAIN	Główne
SETTINGSMENU_PERSONAL	Osobiste
SETTINGSMENU_PERSONAL_DESCR	Ustaw swoją nazwę użytkownika i adres email, aby otrzymywać raporty z wysyłek oraz powiadomienia, gdy ktoś się zapisze lub wypisze.
SETTINGSMENU_SENDING_OPTIONS	Ustawienia wysyłki
SETTINGSMENU_SENDING_OPTIONS_DESCR	Konfiguracja metody wysyłki. Wybierz i skonfiguruj program pocztowy na serwerze i jego ścieżkę lub adres serwera SMTP. Dodatkowo możesz ustawić nagłówki, takie jak <i>"Return-Path"</i> lub <i>"Errors-To"</i>, by określić skrzynkę dla wiadomości zwrotnych.
SETTINGSMENU_ACCESS	Dostęp
SETTINGSMENU_ACCESS_DESCR	Tutaj możesz zmienić hasło logowania do panelu administracyjnego.
SETTINGSMENU_TIME_SYNC	Ustawienia czasu
SETTINGSMENU_TIME_SYNC_DESCR	Synchronizuj czas serwera z lokalnym czasem. Przydatne przy planowanych i czasowo wrażliwych wysyłkach.
SETTINGSMENU_PERFOM	Wydajność
SETTINGSMENU_PERFOM_DESCR	Narzędzie do testowania wydajności serwera przy wysyłaniu wiadomości.
SETTINGSMENU_BACUP_RESTORE	Kopia/Zapis przywracania
SETTINGSMENU_BACUP_RESTORE_DESCR	Kopia zapasowa i przywracanie bazy danych.
STATMENU_MAIN	Główne
STATMENU_ACT_LOGS	Logi aktywności
STATMENU_ACT_LOGS_DESCR	Przeglądaj logi nadawcy oraz logi zapisów/wypisów w określonym przedziale dat. Pokazuje rekordy i ramy czasowe, kiedy program wykonał akcje.
STATMENU_CURRENT_BROADCAST	Obecny log nadawania
STATMENU_CURRENT_BROADCAST_DESCR	Informacje o postępie bieżącego nadawania.
STATMENU_TOTALS	Sumarycznie
STATMENU_TOTALS_DESCR	Łączna liczba subskrybentów/wypisów i wysłanych wiadomości na kontach.
STATMENU_TOTALS_SENT_MESS	Wysłane wiadomości
